s1,model,device,method,lp_target,t_construct,deviation,LB,batches,fill,core,repair,drain,lp_actions,gpu_time_residual
0.1,Qwen3-4B-FP8,H100-SXM-80GB,task,12.142508021343735,12.136941993445095,-0.005566027898639803,12.084449109439579,847,0.0010768277014925373,8.464841963662812,0,3.671023202080794,2075,0.9999999999999993
0.1,Qwen3-4B-FP8,H100-SXM-80GB,pipe,13.048031691303354,13.044564481912202,-0.003467209391152082,13.044376334392917,7,0,0,13.03222812777867,0.01233635413353284,54,1.0
0.1,Qwen3-4B-FP8,H100-SXM-80GB,fullspec,14.728680513457507,14.736026818168776,0.0073463047112696245,14.728641087833646,465,0,10.882987209264897,0,3.853039608903877,1038,1.000000000000001
0.1,Qwen3-4B-FP8,L40S-48GB,task,32.783385489168296,32.947867325789325,0.16448183662102878,32.62636396668612,1033,0.0041752,17.833333679278628,0,15.110358446510718,2075,0.9999999999999991
0.1,Qwen3-4B-FP8,L40S-48GB,pipe,35.227866497613846,35.21900733009166,-0.008859167522189182,35.218036515366414,11,0,0,35.1887885347847,0.03021879530695771,54,1.0
0.1,Qwen3-4B-FP8,L40S-48GB,fullspec,39.76673106605225,39.80362880237848,0.03689773632623172,39.765321572745954,659,0,23.888833778013247,0,15.914795024365255,1038,0.999999999999999
0.1,Qwen3-32B-FP8,H100-SXM-80GB,task,103.83896904123678,103.82768452130365,-0.011284519933127513,103.34619080358146,1166,0.00931734543283582,47.39571297880533,0,56.422654197065405,2075,1.0000000000000004
0.1,Qwen3-32B-FP8,H100-SXM-80GB,pipe,111.76999890357398,111.73935229377547,-0.030646609798509417,111.73935229377545,17,0,0,111.64849644703267,0.0908558467427994,48,0.9999999999999999
0.1,Qwen3-32B-FP8,H100-SXM-80GB,fullspec,126.11430700187117,126.1781329595009,0.06382595762973153,126.11430700187127,769,0,64.24229942657901,0,61.93583353292204,1038,1.000000000000001
0.1,Qwen3-32B-FP8,L40S-48GB,task,280.3510501126983,281.92870396563563,1.577653852937317,279.02061609861903,1495,0.036126281481481476,39.192678785208415,0,242.69989889894595,2075,1.0000000000000002
0.1,Qwen3-32B-FP8,L40S-48GB,pipe,301.7461778678209,301.6810931117906,-0.06508475603033048,301.68100707964754,58,0,0,301.6250165827307,0.0560765290598757,48,1.0
0.1,Qwen3-32B-FP8,L40S-48GB,fullspec,340.49146121847,340.8797889735101,0.3883277550400521,340.49142367899486,1069,0,42.50728833443657,0,298.37250063907345,1038,0.9999999999999998
0.5,Qwen3-4B-FP8,H100-SXM-80GB,task,16.55796554024203,16.617993045726653,0.06002750548462288,16.588655638471085,1043,0.0010768277014925373,9.613783069264977,0,7.003133148760166,2075,0.9999999999999984
0.5,Qwen3-4B-FP8,H100-SXM-80GB,pipe,13.794883256179647,13.799091493743667,0.004208237564020223,13.79885425285032,9,0,0,13.782444110063054,0.016647383680613005,54,1.0
0.5,Qwen3-4B-FP8,H100-SXM-80GB,fullspec,14.728680513457507,14.736026818168776,0.0073463047112696245,14.728641087833646,465,0,10.882987209264897,0,3.853039608903877,1038,1.000000000000001
0.5,Qwen3-4B-FP8,L40S-48GB,task,44.7047212651557,44.94074085641399,0.23601959125829097,44.78710710577663,1328,0.0041752,20.95002996108468,0,23.986535695329405,2075,0.9999999999999997
0.5,Qwen3-4B-FP8,L40S-48GB,pipe,37.24471133698787,37.264151572481865,0.019440235493995317,37.25502396506246,18,0,33.158058329161115,3.9468231974599073,0.15927004586084584,54,1.0
0.5,Qwen3-4B-FP8,L40S-48GB,fullspec,39.76673106605225,39.80362880237848,0.03689773632623172,39.765321572745954,659,0,23.888833778013247,0,15.914795024365255,1038,0.999999999999999
0.5,Qwen3-32B-FP8,H100-SXM-80GB,task,141.5985941471413,142.13642970455643,0.5378355574151215,141.85463133305805,1593,0.00931734543283582,47.732241640072864,0,94.39487071905077,2075,0.9999999999999979
0.5,Qwen3-32B-FP8,H100-SXM-80GB,pipe,118.1432822619447,118.17818097380862,0.03489871186391724,118.17818097380861,29,0,110.27100306656051,7.550387918801431,0.35678998844669024,48,0.9999999999999999
0.5,Qwen3-32B-FP8,H100-SXM-80GB,fullspec,126.11430700187117,126.1781329595009,0.06382595762973153,126.11430700187127,769,0,64.24229942657901,0,61.93583353292204,1038,1.000000000000001
0.5,Qwen3-32B-FP8,L40S-48GB,task,382.2968865173157,384.31480997810013,2.0179234607844023,382.98815198925223,1908,0.036126281481481476,0,0,384.2786836966186,2075,0.9999999999999991
0.5,Qwen3-32B-FP8,L40S-48GB,pipe,318.94600430063076,319.0713250139763,0.12532071334555894,319.0649660943618,93,0,183.03934355928743,135.99552597617017,0.03645547851851851,48,1.0000000000000002
0.5,Qwen3-32B-FP8,L40S-48GB,fullspec,340.49146121847,340.8797889735101,0.3883277550400521,340.49142367899486,1069,0,42.50728833443657,0,298.37250063907345,1038,0.9999999999999998
0.9,Qwen3-4B-FP8,H100-SXM-80GB,task,20.973423173131284,21.034917409624917,0.06149423649363328,21.004765510415393,1183,0.0010768277014925373,12.392155032043561,0,8.641685549879856,2075,1.000000000000001
0.9,Qwen3-4B-FP8,H100-SXM-80GB,pipe,14.541669872497838,14.543294411344794,0.001624538846956014,14.542232879612119,11,0,0.5805525047313593,13.88893237703134,0.07380952958209257,54,1.0000000000000002
0.9,Qwen3-4B-FP8,H100-SXM-80GB,fullspec,14.728680513457507,14.736026818168776,0.0073463047112696245,14.728641087833646,465,0,10.882987209264897,0,3.853039608903877,1038,1.000000000000001
0.9,Qwen3-4B-FP8,L40S-48GB,task,56.626007319529016,56.84684031426195,0.2208329947329304,56.710001289375256,1472,0.0041752,26.21488797777305,0,30.62777713648888,2075,1.0
0.9,Qwen3-4B-FP8,L40S-48GB,pipe,39.26149645706453,39.26935835205151,0.007861894986980644,39.26204484140843,18,0,0.8858060978117326,38.20740258539394,0.17614966884583902,54,1.0000000000000002
0.9,Qwen3-4B-FP8,L40S-48GB,fullspec,39.76673106605225,39.80362880237848,0.03689773632623172,39.765321572745954,659,0,23.888833778013247,0,15.914795024365255,1038,0.999999999999999
0.9,Qwen3-32B-FP8,H100-SXM-80GB,task,179.3582192530457,179.88700938982333,0.5287901367776442,179.6203634070847,1742,0.00931734543283582,59.083033663698075,0,120.79465838069278,2075,0.9999999999999984
0.9,Qwen3-32B-FP8,H100-SXM-80GB,pipe,124.51711267018047,124.52268951771806,0.005576847537597018,124.52268951771806,29,0,85.40893329445463,38.96413120829911,0.14962501496432543,48,1.0000000000000009
0.9,Qwen3-32B-FP8,H100-SXM-80GB,fullspec,126.11430700187117,126.1781329595009,0.06382595762973153,126.11430700187127,769,0,64.24229942657901,0,61.93583353292204,1038,1.000000000000001
0.9,Qwen3-32B-FP8,L40S-48GB,task,484.24272292193285,486.11664206002183,1.8739191380889793,484.950476374653,2056,0.036126281481481476,0,0,486.0805157785404,2075,1.0000000000000004
0.9,Qwen3-32B-FP8,L40S-48GB,pipe,336.1524382294483,336.1946630062268,0.042224776778482465,336.1942736092279,100,0,21.747276468978377,314.1677187198009,0.27966781744752667,48,1.0
0.9,Qwen3-32B-FP8,L40S-48GB,fullspec,340.49146121847,340.8797889735101,0.3883277550400521,340.49142367899486,1069,0,42.50728833443657,0,298.37250063907345,1038,0.9999999999999998
