s,g,cap,task,pipe,spec,opt,adaptive_gain
0.5,1,0,0.006837998989388579,0.0046244256645391535,0.004125720060636685,0.0039128852956038405,0.051587301587301515
0.5,1,900,0.006837998989388579,0.004708884127851093,0.004125720060636685,0.003936533602829712,0.04585537918871241
0.5,8,0,0.021464954306865673,0.021416822027462687,0.009143900618507462,0.009143900618507462,0.0
0.5,8,900,0.027241073709850745,0.02773025486328358,0.017740915543880596,0.017682351302686566,0.0033010833656909044
0.5,32,0,0.08578043858149254,0.08564356860179104,0.03657738515104478,0.03657738515104478,0.0
0.5,32,900,0.10888491619343285,0.11089729994507463,0.10535350455402984,0.07072438730507463,0.3286944975921128
0.9,1,0,0.010589129863567456,0.0056936796067450154,0.004125720060636685,0.004079369378473977,0.011234567901234449
0.9,1,900,0.010589129863567456,0.00639240959459413,0.004125720060636685,0.004087882769075291,0.00917107583774246
0.9,8,0,0.026304817752644774,0.026219415639116422,0.009143900618507462,0.009143900618507462,0.0
0.9,8,900,0.039127875901898514,0.04513421540031046,0.017740915543880596,0.01772920269564179,0.0006602166731382031
0.9,32,0,0.10509634750739105,0.10487352872654328,0.03657738515104478,0.03657738515104478,0.0
0.9,32,900,0.15638858010440598,0.18053272777131943,0.10535350455402984,0.07091723334304478,0.32686403130827646
0.9,1,0,0,0,0,0.004079369378473977,0.008889848656625343
0.9,32,0,0,0,0,0.03657738515104478,0.0057666629354342636
