sweep,model,device,scale,s,n,policy,tau_max,tau_add,D,attn,traffic,reads,lb_add
B,Qwen3-4B-FP8,H100-SXM-80GB,4,0.5,2,fullspec,50.42129173197163,50.704092972616394,46.79950520464881,3.621786527322809,0.28280124064477613,0.00013988512477611942,50.70395308749162
B,Qwen3-4B-FP8,H100-SXM-80GB,4,0.9,2,pipe,50.22234102930109,50.73964909473419,46.617777059120776,3.6042051450295305,0.5176668905838806,0.2360828662065672,50.73925470495508
B,Qwen3-4B-FP8,H100-SXM-80GB,4,0.9,2,fullspec,50.42129173197163,50.704092972616394,46.79950520464881,3.621786527322809,0.28280124064477613,0.00013988512477611942,50.70395308749162
B,Qwen3-4B-FP8,H100-SXM-80GB,10,0.5,2,pipe,131.6780812059546,132.6769849591395,110.63554926730673,21.04200480566201,0.9994308861707462,0.3305002635080598,132.6745679132075
B,Qwen3-4B-FP8,H100-SXM-80GB,10,0.5,2,fullspec,132.80518200471607,133.48116753865278,111.54146134411319,21.263720660602893,0.6759855339367163,0.001684431703880597,133.47948310694892
B,Qwen3-4B-FP8,H100-SXM-80GB,10,0.9,2,pipe,132.58101644796454,133.84550089389575,111.35973319858515,21.220336639110013,1.2654310562005973,0.5922072851104478,133.84251479985397
B,Qwen3-4B-FP8,H100-SXM-80GB,10,0.9,2,fullspec,132.80518200471607,133.48116753865278,111.54146134411319,21.263720660602893,0.6759855339367163,0.001684431703880597,133.47948310694892
B,Qwen3-32B-FP8,L40S-48GB,1,0.5,2,pipe,319.06521373490835,319.85335401021365,316.4132038199181,2.6517622744437,0.7883879158518516,0.22680795970370374,319.85269394739885
B,Qwen3-32B-FP8,L40S-48GB,1,0.5,2,fullspec,340.49142367899486,341.0913276315875,337.61047530695777,2.8809483720371514,0.5999039525925925,0.0013052586666666664,341.09002237292077
B,Qwen3-32B-FP8,L40S-48GB,1,0.9,2,pipe,336.19494931503306,337.1928004335241,333.3582515688949,2.8360220403329217,0.9985268242962961,0.40735417837037025,337.1915966646353
B,Qwen3-32B-FP8,L40S-48GB,1,0.9,2,fullspec,340.49142367899486,341.0913276315875,337.61047530695777,2.8809483720371514,0.5999039525925925,0.0013052586666666664,341.09002237292077
B,Qwen3-32B-FP8,L40S-48GB,2,0.5,2,pipe,578.0534507554255,579.5230795377081,568.894074761255,9.159145770823597,1.4698590056296288,0.45834998518518516,579.5170253463009
B,Qwen3-32B-FP8,L40S-48GB,2,0.5,2,fullspec,599.6906979569735,600.744155175344,590.0913462482946,9.599351708678983,1.05345721837037,0.004929460148148149,600.739225715196
B,Qwen3-32B-FP8,L40S-48GB,2,0.9,2,pipe,595.352476360315,597.2129245712377,585.8391225102317,9.513143240265341,1.8606588207407415,0.8195571105185185,597.2056682796824
B,Qwen3-32B-FP8,L40S-48GB,2,0.9,2,fullspec,599.6906979569735,600.744155175344,590.0913462482946,9.599351708678983,1.05345721837037,0.004929460148148149,600.739225715196
B,Qwen3-32B-FP8,L40S-48GB,4,0.5,2,pipe,1107.7610842762256,1110.601660414104,1073.8558166439288,33.90514822765664,2.8406955425185187,0.9293283934814817,1110.5769236081783
B,Qwen3-32B-FP8,L40S-48GB,4,0.5,2,fullspec,1129.820481977004,1131.7851298940418,1095.053088130969,34.767393846035915,1.964647917037037,0.01626203022222222,1131.7688678638194
B,Qwen3-32B-FP8,L40S-48GB,4,0.9,2,pipe,1125.3998045045005,1128.9953003332578,1090.8008643929063,34.598621104203424,3.595814836148147,1.6548549973333324,1128.96504697385
B,Qwen3-32B-FP8,L40S-48GB,4,0.9,2,fullspec,1129.820481977004,1131.7851298940418,1095.053088130969,34.767393846035915,1.964647917037037,0.01626203022222222,1131.7688678638194
