s1,rep,model,device,policy,tau,LB,gap_pct,batches,U_tot,peak_resident,validate_s
0.25,1,Qwen3-4B-FP8,H100-SXM-80GB,fullspec,14.728641087833644,14.728641087833646,-1.2060561655396581e-14,4,3965841,996827.0,0.04
0.25,1,Qwen3-4B-FP8,L40S-48GB,task,37.19882742768353,37.19882742768354,-1.910121326112852e-14,8,3701639,562846.0,0.03
0.25,1,Qwen3-4B-FP8,L40S-48GB,pipe,35.96926622484745,35.966690115497386,0.0071624865724195415,9,3589041,562866.0,0.04
0.25,1,Qwen3-4B-FP8,L40S-48GB,fullspec,39.76532157274596,39.765321572745954,1.786840160364971e-14,8,3965841,562810.0,0.04
0.25,1,Qwen3-32B-FP8,H100-SXM-80GB,task,118.11682419669054,118.11682419669053,1.203118591432648e-14,12,3710892,339507.0,0.04
0.25,1,Qwen3-32B-FP8,H100-SXM-80GB,pipe,114.16392370859428,114.16392370859425,2.489552610590978e-14,14,3590891,339507.0,0.07
0.25,1,Qwen3-32B-FP8,H100-SXM-80GB,fullspec,126.11430700187124,126.11430700187127,-2.2536467198747156e-14,12,3965841,339489.0,0.04
0.25,1,Qwen3-32B-FP8,L40S-48GB,task,319.621496176165,319.62149617616507,-1.7784604458980992e-14,40,3719453,95367.0,0.06
0.25,1,Qwen3-32B-FP8,L40S-48GB,pipe,308.4755246558569,308.4753312273015,6.270470788678551e-05,47,3593791,95367.0,0.07
0.25,1,Qwen3-32B-FP8,L40S-48GB,fullspec,340.49142367899486,340.49142367899486,0.0,42,3965841,95355.0,0.07
0.5,0,Qwen3-4B-FP8,H100-SXM-80GB,task,16.58865563847108,16.588655638471085,-2.1416525583672563e-14,5,4456662,996878.0,0.04
0.5,0,Qwen3-4B-FP8,H100-SXM-80GB,pipe,13.801326335691948,13.79885425285032,0.01791513118646913,6,3716841,996900.0,0.05
0.5,0,Qwen3-4B-FP8,H100-SXM-80GB,fullspec,14.728641087833644,14.728641087833646,-1.2060561655396581e-14,4,3965841,996827.0,0.07
0.5,0,Qwen3-4B-FP8,L40S-48GB,task,44.6798431650904,44.679843165090396,1.5902981868908325e-14,9,4446563,562846.0,0.04
0.5,0,Qwen3-4B-FP8,L40S-48GB,pipe,37.244106559143404,37.23591563136315,0.021997385162609337,10,3714941,562809.0,0.05
0.5,0,Qwen3-4B-FP8,L40S-48GB,fullspec,39.76532157274596,39.765321572745954,1.786840160364971e-14,8,3965841,562810.0,0.04
0.5,0,Qwen3-32B-FP8,H100-SXM-80GB,task,141.5507366257737,141.5507366257737,0.0,14,4447452,339492.0,0.04
0.5,0,Qwen3-32B-FP8,H100-SXM-80GB,pipe,118.22029641391048,118.22029641391048,0.0,16,3718191,339467.0,0.05
0.5,0,Qwen3-32B-FP8,H100-SXM-80GB,fullspec,126.11430700187124,126.11430700187127,-2.2536467198747156e-14,12,3965841,339489.0,0.05
0.5,0,Qwen3-32B-FP8,L40S-48GB,task,381.33280054117495,381.3328005411749,1.4906511787115538e-14,48,4437809,95367.0,0.07
0.5,0,Qwen3-32B-FP8,L40S-48GB,pipe,319.0538988308235,319.053748866435,4.7002860508480696e-05,56,3716741,95366.0,0.08
0.5,0,Qwen3-32B-FP8,L40S-48GB,fullspec,340.49142367899486,340.49142367899486,0.0,42,3965841,95355.0,0.07
0.5,1,Qwen3-4B-FP8,H100-SXM-80GB,task,16.526745989673653,16.526745989673653,0.0,5,4440377,996876.0,0.04
0.5,1,Qwen3-4B-FP8,H100-SXM-80GB,pipe,13.794051605422672,13.791684550392109,0.01716291452225453,6,3714941,996874.0,0.07
0.5,1,Qwen3-4B-FP8,H100-SXM-80GB,fullspec,14.728641087833644,14.728641087833646,-1.2060561655396581e-14,4,3965841,996827.0,0.04
0.5,1,Qwen3-4B-FP8,L40S-48GB,task,44.450468724713645,44.45046872471365,-1.5985044840821923e-14,9,4423736,562850.0,0.04
0.5,1,Qwen3-4B-FP8,L40S-48GB,pipe,37.22000245187137,37.212357938593705,0.02054294245552247,10,3712641,562866.0,0.05
0.5,1,Qwen3-4B-FP8,L40S-48GB,fullspec,39.76532157274596,39.765321572745954,1.786840160364971e-14,8,3965841,562810.0,0.07
0.5,1,Qwen3-32B-FP8,H100-SXM-80GB,task,142.1174491224895,142.11744912248952,-1.9998747237510322e-14,14,4464891,339483.0,0.05
0.5,1,Qwen3-32B-FP8,H100-SXM-80GB,pipe,118.12324037237258,118.11865660098194,0.003880649782639121,17,3714941,339479.0,0.05
0.5,1,Qwen3-32B-FP8,H100-SXM-80GB,fullspec,126.11430700187124,126.11430700187127,-2.2536467198747156e-14,12,3965841,339489.0,0.05
0.5,1,Qwen3-32B-FP8,L40S-48GB,task,385.59562168017686,385.59562168017686,0.0,49,4487214,95367.0,0.08
0.5,1,Qwen3-32B-FP8,L40S-48GB,pipe,319.47031722837585,319.4697886769845,0.00016544643972689064,56,3721541,95367.0,0.08
0.5,1,Qwen3-32B-FP8,L40S-48GB,fullspec,340.49142367899486,340.49142367899486,0.0,42,3965841,95355.0,0.07
0.75,0,Qwen3-4B-FP8,H100-SXM-80GB,task,19.188398653256826,19.188398653256826,0.0,6,5155303,996904.0,0.05
