N,d,g,task,pipe,spec,best,K,block_docs,lam_pipe,binding
100,30000,1,63.852373673572515,37.57422688226377,37.583981808994444,37.57422688226377,11,33.20145873576234,2.6613987378461053,compute
100,30000,257,64.39664855987873,38.11850176856999,38.224305204648815,38.11850176856999,11,32.92077801994584,2.623397965825966,compute
30,100000,1,63.803261369378475,37.535532339565435,37.53845881758464,37.535532339565435,11,9.966478715533961,0.7992426943250679,compute
30,100000,257,63.96654383527034,37.69881480545731,37.730555836280956,37.69881480545731,11,9.941036277696895,0.3055649923074729,memory
4,30000,1,0,0.43837635212376497,0.4373408792319353,0.43725574532592215,opt,0,0,exact
4,30000,33,0,0.4779687394452411,0.4382722587165235,0.43808234461849416,opt,0,0,exact
4,30000,257,0,2.1930672489227465,1.9194475223498508,1.9194475223498508,opt,0,0,exact
