n,s1,policy,k,mode,measured,ideal,lb,ratio,tok_s,cache_hit,cache_hit_w1,agreement,waves
2,0.25,task,0,waves,11.104352951049805,2.980791811199806,2.980791811199806,3.725303092060013,75309.83603334938,0.05275683218873571,0.05346345245469217,0.9939491730536507,2
2,0.25,block,1,waves,10.035356521606445,2.7571768324453476,2.755808852191531,3.6397217630419667,72746.89229308379,0.168450979521123,0.0,0.9560669456066946,2
2,0.25,block,2,waves,5.418630838394165,3.038543825045021,3.038543825045021,1.7832985635196092,9913.57440691043,0.9627972624635889,0.9627972624635889,0.97075,1
2,0.5,task,0,waves,13.332711219787598,3.541395332210352,3.5413953322103526,3.7648186573584326,74581.52986349924,0.05351618792344931,0.053879625361202624,0.9889521258788082,2
2,0.5,block,1,waves,10.348443269729614,2.8212637280582817,2.8187462302655324,3.6680169835990024,71241.72987028056,0.26787290773944,0.0,0.9046410442349528,2
2,0.5,block,2,waves,5.298988580703735,3.0368478401996,3.0368478401996,1.7448976239637524,9299.88794077668,0.9658494938407123,0.9658494938407123,0.93325,1
2,0.8,task,0,waves,15.560576677322388,4.168721319277825,4.168721319277825,3.7326977472358474,75240.27060682588,0.054012911774924656,0.0535640940522475,0.9844500989539158,2
2,0.8,block,1,waves,11.00747036933899,2.9032244900908846,2.899121104293708,3.791463735205128,67793.6869199869,0.37109047437249115,0.0,0.8847226526185311,2
2,0.8,block,2,waves,4.992282867431641,3.0346384726395796,3.0346384726395796,1.6450997087271713,8751.106690089455,0.9696999961160955,0.9696999961160955,0.90375,1
3,0.7,task,0,waves,19.6956627368927,5.173703837038859,5.17370383703886,3.8068786612581604,73667.99581118886,0.05202760797923913,0.05294278758791937,0.9597362844360725,3
3,0.7,block,1,waves,11.953560829162598,3.0038994721497767,2.998373292079604,3.979347824382381,63752.55130176859,0.4387919670670368,0.0,0.8513289036544851,3
3,0.7,block,3,waves,7.949181318283081,3.4175995800378858,3.4175995800378858,2.32595455731972,9990.58856757252,0.9637000805831974,0.9637000805831974,0.8673333333333333,1
3,0.9,task,0,waves,24.317122220993042,6.518527907465379,6.518527907465378,3.7304622402772454,75157.12523014846,0.05283699833692397,0.05303096768982454,0.9821727019498607,3
3,0.9,block,1,waves,13.484157085418701,3.222463670746849,3.212986733535402,4.184424857237745,58295.59793915672,0.5639015611104361,0.0,0.916443712698086,3
3,0.9,block,3,waves,7.871806621551514,3.413087946706466,3.413087946706466,2.3063591517316704,8297.586963223212,0.9700958651926346,0.9700958651926346,0.9041666666666667,1
4,0.8,task,0,waves,25.13518977165222,6.86859651528376,6.86859651528376,3.6594360602959104,76692.23974485582,0.052003080527466564,0.05237056576164241,0.9795414462081129,4
4,0.8,block,1,waves,13.36737322807312,3.1941492385230745,3.1858390843975664,4.184955751865241,58995.584737905716,0.5303285132334373,0.0,0.8552748226950354,4
4,0.8,block,2,waves,6.916128158569336,3.3461033737908843,3.180755909756701,2.066920051765729,8158.032746991693,0.9718913996311438,0.970287305019766,0.8137905604719764,2
4,0.8,block,4,waves,10.347272634506226,3.7989783326668256,3.7989783326668256,2.7236987759397397,9340.432345205338,0.9672213434338227,0.9672213434338227,0.868875,1
4,0.95,task,0,waves,33.229451417922974,9.037268100215528,9.037268100215528,3.6769354465793147,76234.06020581065,0.05247912863939675,0.05246075087204977,0.9945997029836641,4
4,0.95,block,1,waves,15.215302467346191,3.5282491928080724,3.513684409004046,4.3124228578754655,54271.67825103556,0.6540328202928085,0.0,0.9237738206810372,4
4,0.95,block,2,waves,8.411489486694336,3.5736529179304943,3.5081331018919135,2.353751100027206,7284.560017215252,0.9754959869149834,0.9748490234767814,0.8975385527876631,2
4,0.95,block,4,waves,9.884448766708374,3.794240734545884,3.7942407345458835,2.6051190365208603,8049.816623865914,0.9729682718284058,0.9729682718284058,0.907625,1
2,0.5,task,0,manifest,13.147314071655273,3.6123197223071366,3.6123197223071366,3.639576527644201,77119.32600636096,0.05289313017030721,0.053519828196854025,0.9890728476821192,2
2,0.5,block,1,manifest,10.91136360168457,2.86779551592891,2.864568036020325,3.804791360150468,68067.38617759339,0.31587751327332547,0.0,0.9112582781456954,2
2,0.5,block,2,manifest,4.938987970352173,3.0368478401996,3.0368478401996,1.6263534527391905,9359.002345718209,0.9679672687356551,0.9679672687356551,0.933,1
4,0.8,task,0,manifest,26.667333841323853,7.135905668970979,7.135905668970979,3.7370636718589596,75039.93507213911,0.05145816298718997,0.05237056576164241,0.9788623474823853,4
4,0.8,block,1,manifest,14.900566339492798,3.4277573167970834,3.4153666693280407,4.347030714944538,54700.87387482108,0.6189052586299603,0.0,0.8331328406942774,4
4,0.8,block,4,manifest,9.829647064208984,3.7989783326668256,3.7989783326668256,2.587444887401798,9420.480653590155,0.9685942430466433,0.9685555378109832,0.872,2
