n,s1,policy,k,mode,measured,ideal,lb,ratio,tok_s,cache_hit,cache_hit_w1,agreement,waves
2,0.5,block,1,client,48.91836404800415,13.896765577672918,13.894764779240585,3.520125872066108,74133.67291762406,0.27620849198609776,0.27620849198609776,0.9219288174512055,1
2,0.5,block,2,client,50.355788707733154,14.958996755231952,14.958996755231952,3.366254404067644,74471.79552217197,0.4713594771794644,0.4713594771794644,0.94435,1
4,0.8,block,1,client,52.4975061416626,15.921283659400405,15.91393134337009,3.2973161752988736,74391.93377036702,0.5493141201501736,0.5493141201501736,0.8772675617660676,1
4,0.95,block,1,client,57.87061333656311,17.552515205340118,17.533383449655364,3.2969983309831714,70678.25558046717,0.6614365369298932,0.6614365369298932,0.9420863418023625,1
4,0.95,block,2,client,56.74565410614014,17.797816097571058,17.53359602069564,3.188349278082745,72629.38571984926,0.6727881053524295,0.6727881053524295,0.9279357374017568,1
