n,s1,policy,k,mode,measured,ideal,lb,ratio,tok_s,cache_hit,cache_hit_w1,agreement,waves
2,0.25,task,0,waves,11.201500177383423,2.980791811199806,2.980791811199806,3.7578941727146917,74656.69658145244,0.05275683218873571,0.05346345245469217,0.9939491730536507,2
2,0.25,block,1,waves,9.388218879699707,2.7571768324453476,2.755808852191531,3.405011520923477,77761.39535674643,0.168450979521123,0.0,0.9560669456066946,2
2,0.25,block,2,waves,11.000249862670898,3.038543825045021,3.038543825045021,3.620237355802466,69380.78766646225,0.47143690189109416,0.47143690189109416,0.97225,1
2,0.5,task,0,waves,13.609321117401123,3.541395332210352,3.5413953322103526,3.8429262594941362,73085.64412726126,0.05325728775421236,0.053497340874082235,0.9889521258788082,2
2,0.5,block,1,waves,10.229949712753296,2.8212637280582817,2.8187462302655324,3.626016813321454,72066.9231717639,0.26787290773944,0.0,0.9042784626540972,2
2,0.5,block,2,waves,10.665189981460571,3.0368478401996,3.0368478401996,3.5119276772061094,71514.90046833159,0.4714433023982969,0.4714433023982969,0.93275,1
2,0.5,block,1,warm,3.295290231704712,2.821476099223963,2.8189432524841394,1.1679312940524536,7230.015666230075,0.9763843527131975,0.9759948552484228,0.9046756071040232,2
2,0.5,block,2,warm,3.836135149002075,3.0368478401996,3.0368478401996,1.2631963637499668,9029.921693194565,0.9759948552484228,0.9759948552484228,0.934,1
2,0.8,task,0,waves,15.566050052642822,4.168721319277825,4.168721319277825,3.734010709869047,75214.84230363376,0.05399998384008144,0.05354158813037681,0.9844500989539158,2
2,0.8,block,1,waves,10.802453517913818,2.9032244900908846,2.899121104293708,3.720846787695584,69080.32501713686,0.37109047437249115,0.0,0.8850325379609545,2
2,0.8,block,2,waves,10.030369997024536,3.0346384726395796,3.0346384726395796,3.3052932293117445,75982.84013711201,0.4714172367683695,0.4714172367683695,0.9055,1
3,0.7,task,0,waves,19.963160753250122,5.173703837038859,5.17370383703886,3.8585820491564755,72681.67691149688,0.05201715437104559,0.05292054271918495,0.9597362844360725,3
3,0.7,block,1,waves,11.790239572525024,3.0044618232539855,2.9989167737379443,3.9242434306439593,64642.7068179392,0.43965642100557806,0.0,0.8525587828492392,3
3,0.7,block,3,waves,12.545984506607056,3.4175995800378858,3.4175995800378858,3.6709931086976484,64588.71358985489,0.6296148507108279,0.6296148507108279,0.8716666666666667,1
3,0.9,task,0,waves,24.66958522796631,6.518527907465379,6.518527907465378,3.7845331918750142,74083.97762310752,0.052828706278176804,0.05300868577062714,0.9821727019498607,3
3,0.9,block,1,waves,13.221360206604004,3.221945820542939,3.212471575946801,4.103532754121867,59452.12805013647,0.5638641763368359,0.0,0.9157742998352554,3
3,0.9,block,3,waves,11.472732782363892,3.413087946706466,3.413087946706466,3.3613938349976467,70549.62539040575,0.6294331184733357,0.6294331184733357,0.9085,1
4,0.8,task,0,waves,26.381283283233643,6.86859651528376,6.86859651528376,3.8408550021144694,73070.36505025227,0.051995212002647756,0.052348561322246766,0.9795414462081129,4
4,0.8,block,1,waves,12.379776239395142,3.1937770741594727,3.1854785049468055,3.876218017706577,63697.19328937789,0.5299798713602896,0.0,0.8547671840354767,4
4,0.8,block,2,waves,12.533834218978882,3.3489465178566307,3.185709692549239,3.742620000692247,64419.234042316835,0.5993533443292585,0.47240770234668156,0.8172794117647059,2
4,0.8,block,4,waves,13.652506589889526,3.7989783326668256,3.7989783326668256,3.5937311019896425,62930.56841563863,0.7086115535200224,0.7086115535200224,0.8695,1
4,0.8,block,1,warm,4.720449924468994,3.1916194760957635,3.1833011599365175,1.479014011483416,7915.770868854905,0.9777673058134871,0.9774828184055372,0.8512341561040694,4
4,0.8,block,4,warm,8.009312868118286,3.7989783326668256,3.7989783326668256,2.1082807446537526,8289.350296737526,0.9774828184055372,0.9774828184055372,0.869125,1
4,0.95,task,0,waves,33.18491172790527,9.037268100215528,9.037268100215528,3.67200700033607,76336.86118471122,0.05247314401986894,0.05243870853975059,0.9945997029836641,4
4,0.95,block,1,waves,14.273232698440552,3.5282251816892662,3.5136691263333804,4.04544266973536,57849.053360575606,0.6539026920537782,0.0,0.9239300218681662,4
4,0.95,block,2,waves,13.748834133148193,3.576867469590379,3.514901856788956,3.8438198367810097,60587.53723645793,0.6682194748916646,0.4722860916784893,0.9022478556640048,2
4,0.95,block,4,waves,12.883218765258789,3.794240734545884,3.7942407345458835,3.395466884312159,66616.89253576532,0.708429137517734,0.708429137517734,0.910625,1
2,0.5,task,0,manifest,13.622162580490112,3.6123197223071366,3.6123197223071366,3.771029041634729,74432.2345302327,0.05287818438613928,0.053497340874082235,0.9890728476821192,2
2,0.5,block,1,manifest,10.543322801589966,2.86779551592891,2.864568036020325,3.6764555711967732,70443.44690726887,0.31587751327332547,0.0,0.9119205298013245,2
2,0.5,block,2,manifest,10.821410655975342,3.0368478401996,3.0368478401996,3.5633693966254474,70482.49292515694,0.4714433023982969,0.4714433023982969,0.93275,1
4,0.8,task,0,manifest,26.82338047027588,7.135905668970979,7.135905668970979,3.758931481803612,74603.98223175255,0.05145057888063327,0.052348561322246766,0.9788623474823853,4
4,0.8,block,1,manifest,13.606575965881348,3.4277573167970834,3.4153666693280407,3.969527218045708,59902.94707822216,0.6189052586299603,0.0,0.8322735865268946,4
4,0.8,block,4,manifest,12.715514183044434,3.7989783326668256,3.7989783326668256,3.3470878403558397,67567.85353954865,0.7086115535200224,0.7086898256480048,0.8695,2
